4501,משעול רחם,21
4502,משעול חכליל,21
4503,משעול שגיא,21
4504,משעול מכרות,21
4505,עמודי שלמה,21
4506,באר אורה,21
4507,דרך הים,1376
4508,רותם המדבר,1376
4509,הסביון,1376
4510,חבצלת החוף,1376
4511,נוף ים,1376
4512,ספיר,1376
4513,לשם,1376
4514,שוהם,1376
4515,ישפה,1376
4516,דרך האור,1376
4517,אפיקי מים,1376
4518,איבי הנחל,1376
4519,דרך הגן,1376
4520,הבציר,1376
4521,החריש,1376
4522,האסיף,1376
4523,מלכית,1376
4524,טופז,1376
4525,צדף,1376
4526,אלמוג,1376
4527,שונית,1376
4528,אדווה,1376
4529,גפן,1376
4530,זית,1376
4531,רימון,1376
4532,באר גנים,1376
4533,שכ קרוונים,155
4534,באר טוביה,155
4535,הרב עוזיאל,2530
4536,דרך רון ארד,2530
4537,"דרך צה""ל",2530
4538,הרב קוק,2530
4539,חזון איש,2530
4540,מאיר בעל הנס,2530
4541,הגפן,2530
4542,ז'בוטינסקי,2530
4543,אבא הלל,2530
4544,נחום,2530
4545,אליהו,2530
4546,האלה,2530
4547,החצב,2530
4548,"בי""ח אסף הרופא",2530
4549,היוזמה,2530
4550,הצמיחה,2530
4551,ישיבת באר יעקב,2530
4552,"בי""ח שמואל הרופא",2530
4553,התנופה,2530
4554,"בי""ח מלבן",2530
4555,עודד,2530
4556,המושבה,2530
4557,בן יוסף שלמה,2530
4558,שא נס,2530
4559,ישיבת שארית יוסף,2530
4560,הורד,2530
4561,סביון,2530
4562,יסמין,2530
4563,השושנים,2530
4564,איילה,2530
4565,דרך חיים,2530
4566,השניים,2530
4567,האופן,2530
4568,היוצר,2530
4569,דוד הכהן,2530
4570,יהודה,2530
4571,הכלנית,2530
4572,האיריס,2530
4573,החבצלת,2530
4574,הנרקיס,2530
4575,האורן,2530
4576,התאנה,2530
4577,דרך סטון יוסף,2530
4578,הרב שפירא,2530
4579,סמ הצאלון,2530
4580,סמ האשל,2530
4581,הברוש,2530
4582,התמר,2530
4583,השיטה,2530
4584,השקד,2530
4585,הארז,2530
4586,האלון,2530
4587,קרן היסוד,2530
4588,סמ השיקמה,2530
4589,הדקל,2530
4590,שד האלונים,2530
4591,שד רבין יצחק,2530
4592,הפרדס,2530
4593,הסנונית,2530
4594,הזמיר,2530
4595,הדרור,2530
4596,האנפה,2530
4597,העפרוני,2530
4598,סמ האנקור,2530
4599,דיזנגוף,2530
4600,הבנים,2530
4601,הגולן,2530
4602,החרמון,2530
4603,התבור,2530
4604,דן,2530
4605,הירקון,2530
4606,הירמוך,2530
4607,הקישון,2530
4608,הירדן,2530
4609,הדר,2530
4610,הזית,2530
4611,פשוש,2530
4612,הנקר,2530
4613,צופית,2530
4614,שחף,2530
4615,דוכיפת,2530
4616,נחליאלי,2530
4617,אודם,2530
4618,התפוז,2530
4619,האתרוג,2530
4620,שלדג,2530
4621,ליכטנשטיין אברהם,2530
4622,הולצברג שמחה,2530
4623,חופית,2530
4624,ליבנית,2530
4625,אגמיה,2530
4626,צוקית,2530
4627,פלמינגו,2530
4628,יסעור,2530
4629,סלעית,2530
4630,ורדית,2530
4631,אביב,2530
4632,אלות,2530
4633,הבשור,2530
4634,הערבה,2530
4635,ערוגות,2530
4636,חרוד,2530
4637,חתני פרס ישראל,2530
4638,מנור אהוד,2530
4639,שד שמר נעמי,2530
4640,קישון אפרים,2530
4641,גולדברג לאה,2530
4642,פטדה,2530
4643,ספיר,2530
4644,לשם,2530
4645,אחלמה,2530
4646,הדובדבן,2530
4647,סמ הרקפת,2530
4648,סמ התפוח,2530
4649,סמ הרימון,2530
4650,ברקת,2530
4651,נופך,2530
4652,שבו,2530
4653,שוהם,2530
4654,ישפה,2530
4655,יהלום,2530
4656,ככר חנה,2530
4657,ככר קפלן,2530
4658,ככר רוטרי,2530
4659,גבעת חוטר,2530
4660,כפר יוהנה זבוטינסקי,2530
4661,נווה דורון,2530
4662,נוה ספיר,2530
4663,סרפנד אל עמר,2530
4664,צריפין,2530
4665,ש אגש,2530
4666,ש טוניס,2530
4667,ש נוה עובד,2530
4668,ש עובדי מלבן,2530
4669,שכ חתני פרס ישראל,2530
4670,אזור תעשייה,2530
4671,שכ רמבם,2530
4672,שכ תלמי מנשה,2530
4673,גני מנחם,2530
4674,שכ הרצל,2530
4675,"פארק תל""מ",2530
4676,באר יעקב,2530
4677,באר מילכה,1278
4678,שד בן גוריון,9000
4679,דרך חברון,9000
4680,תורן יהושע,9000
4681,תוצרת הארץ,9000
4682,אנקור,9000
4683,צוקית,9000
4684,לרון אפרים,9000
4685,דיה,9000
4686,שלדג,9000
4687,פשוש,9000
