0,לא רשום
1126,אילות
2600,אילת
1248,אליפז
21,באר אורה
1129,גרופית
13,חצבה
1158,יהל
866,יטבתה
1255,לוטן
1416,מחנה יוכבד
1197,נאות סמדר
1279,נווה חריף
1156,סמר
1176,ספיר
1053,עין חצבה
806,עין יהב
1151,פארן
1150,צופר
1052,קטורה
1266,שחרות
1267,שיטים
3570,אריאל
3744,ברוכין
3654,ברקן
3647,יקיר
3572,כפר תפוח
3637,מעלה שומרון
3790,נופים
3727,עלי זהב
3660,עמנואל
3768,פדואל
3746,קרית נטפים
3640,קרני שומרון
3752,מעלה לבונה
3762,איתמר
3579,אלון מורה
3710,ברכה
3749,יצהר
3751,מגדלים
3765,עלי
3795,רבבה
3822,רחלים
70,אשדוד
819,אביגדור
400,אבן שמואל
67,אור הנר
2012,אורות
1157,אחווה
821,אחוזם
338,איבים
37,איתן
1145,אלומה
1365,אליאב
1339,אל-עזי
772,אמונים
23,אמציה
714,ארז
7100,אשקלון
155,באר טוביה
234,ביצרון
619,בית גוברין
16,בית ניר
756,בית עזרא
747,בית שקמה
1368,בני דקלים
428,ברור חיל
746,ברכיה
1323,בת הדר
1401,בת חצור
424,גבים
793,גבעתי
342,גברעם
706,גיאה
393,גלאון
340,גת (קיבוץ)
336,דורות
726,הודיה
1133,ורדון
815,זבדיאל
44,זוהר
584,זיקים
818,זרחיה
820,חלץ
700,חצב
406,חצור-אשדוד
358,יד מרדכי
775,יד נתן
811,יכיני
2011,ינון
824,כוכב מיכאל
2006,כנות
690,כפר אחים
888,"כפר הרי""ף"
320,כפר ורבורג
274,כפר מנחם
107,כפר סילבר
845,כפר עזה
768,כרמיה
24,לכיש
573,מבקיעים
1414,מחנה מרים
2030,מנוחה
668,מפלסים
1098,מרכז שפירא
620,משואות יצחק
791,משען
315,נגבה
309,נהורה
55,נוגה
827,נווה מבטח
15,נועם
844,נחל עוז
2045,נחלה
1369,נטע
351,ניצן
1419,ניצן ב'
359,ניצנים
553,ניר בנים
11,"ניר ח""ן"
699,ניר ישראל
348,ניר עם
1242,נתיב העשרה
2046,סגולה
826,עוזה
32,עוצם
1149,עזר
817,עזריקם
622,עין צורים
593,ערוגות
392,קדמה
766,קוממיות
2630,קרית גת
1034,קרית מלאכי
564,רבדים
2051,רווחה
362,רוחמה
36,שדה דוד
293,שדה יואב
18,שדה משה
739,שדה עוזיהו
1031,שדרות
7,שחר
873,שלווה
692,שפיר
1233,שקף
763,שתולים
163,תימורים
727,תלמי יחיאל
744,תלמי יפה
814,תלמים
1376,באר גנים
967,אבו ג'ווייעד (שבט)
935,אבו סריחאן (שבט)
958,אבו עבדון (שבט)
1042,אבו עמאר (שבט)
932,אבו עמרה (שבט)
968,אבו קורינאת (שבט)
1342,אבו קרינאת (יישוב)
966,אבו רובייעה (שבט)
961,אבו רוקייק (שבט)
1375,אבו תלול
1311,אבשלום
1046,אוהד
1358,אום בטין
31,אופקים
403,אורים
965,אטרש (שבט)
1359,אל סייד
960,אסד (שבט)
963,אעצם (שבט)
959,אפיניש (שבט)
71,אשבול
2021,אשל הנשיא
1152,אשלים
1278,באר מילכה
9000,באר שבע
399,בארי
762,בטחה
1348,ביר הדאג'
723,בית הגדי
598,בית קמה
1363,בני נצרים
2060,ברוש
352,גבולות
2014,גבעולים
1344,גבעות בר
736,גילת
976,ג'נאביב (שבט)
849,דבירה
2200,דימונה
1241,דקל
1349,דריג'את
1169,הוואשלה (שבט)
956,הוזייל (שבט)
1261,הר עמשא
2742,זבארגה (שבט)
1065,זמרת
2064,זרועה
1239,חולית
1303,חורה
397,חצרים
1177,טללים
1232,יבול
803,יושיביה
831,ירוחם
916,ישע
1227,יתד
1329,יתיר
1367,כחלה
840,כיסופים
1291,כמהין
1059,כסיפה
1095,כפר מימון
1085,כרם שלום
1198,כרמים
2023,להב
1271,להבים
1060,לקיה
1080,מבועים
829,מבטחים
695,מגן
1140,מדרשת בן גוריון
1360,מולדה
1418,מחנה טלי
1415,מחנה יפה
1196,מחנה יתיר
1417,מחנה עדי
1268,מיתר
1343,מכחול
2044,מלילות
748,מסלול
939,מסעודין אל-עזאזמה
1082,מעגלים
99,מצפה רמון
1340,מרחב עם
421,משאבי שדה
395,משמר הנגב
1124,נאות הכיכר
396,נבטים
1366,נווה
1057,נווה זוהר
1195,ניצנה (קהילת חינוך)
1280,ניצני סיני
402,ניר יצחק
2047,ניר משה
69,ניר עוז
